,Novel Name,Novel Date,Novel Url,Writer Url,Num Submissions,Avg Submission,Min Submission,Min Day,Max Submission,Max Day,Standard Deviation
287,Planet Earth: Population Unknown,November 2007,http://nanowrimo.org/participants/jjfid/novels/planet-earth-population-unknown,http://nanowrimo.org/participants/jjfid/novels,1,0.0,0,1,0,1,0.0
288,Gorgeous Death,November 2015,http://nanowrimo.org/participants/jodimt/novels/gorgeous-death,http://nanowrimo.org/participants/jodimt/novels,19,2661.63157895,0,1,6710,28,1701.2104734
289,Acadia,November 2014,http://nanowrimo.org/participants/jodimt/novels/acadia-707620,http://nanowrimo.org/participants/jodimt/novels,21,2561.42857143,371,16,8801,27,1978.85713942
290,Ava Lemon's Legacy,November 2013,http://nanowrimo.org/participants/jodimt/novels/ava-lemon-s-legacy,http://nanowrimo.org/participants/jodimt/novels,21,2501.33333333,1446,13,7285,25,1587.27704346
291,Innocence & Purity,November 2012,http://nanowrimo.org/participants/jodimt/novels/innocence-purity,http://nanowrimo.org/participants/jodimt/novels,25,2028.0,469,2,4154,22,951.572761275
292,Violet,November 2011,http://nanowrimo.org/participants/jodimt/novels/violet,http://nanowrimo.org/participants/jodimt/novels,20,2662.5,0,1,7139,2,1908.25169986
293,Sirius,November 2015,http://nanowrimo.org/participants/jonbritton/novels/sirius-991674,http://nanowrimo.org/participants/jonbritton/novels,1,0.0,0,1,0,1,0.0
294,Let Them Eat Brains,November 2013,http://nanowrimo.org/participants/jonbritton/novels/let-them-eat-brains,http://nanowrimo.org/participants/jonbritton/novels,3,669.333333333,200,4,962,3,335.230600566
295,Against The Outside,November 2015,http://nanowrimo.org/participants/j_hill/novels/against-the-outside,http://nanowrimo.org/participants/J_Hill/novels,2,1114.5,0,1,2229,6,1114.5
296,The Gods Look Down,November 2011,http://nanowrimo.org/participants/j_hill/novels/the-gods-look-down,http://nanowrimo.org/participants/J_Hill/novels,3,283.666666667,0,1,466,2,203.290159351
297,Barefoot & All Gussied Up:Confessions of a Small Town Homecoming Queen,November 2015,http://nanowrimo.org/participants/laceywilson/novels/barefoot-all-gussied-up-confessions-of-a-small-town-homecoming-queen,http://nanowrimo.org/participants/laceywilson/novels,1,761.0,761,1,761,1,0.0
