"Fact Sheet","index","url"
"Location: San Francisco Favorite noveling music: Techno Website: http://www.rienkarrot.com/ Occupation: Gov't Favorite books or authors: Robert Asprin","3477","http://nanowrimo.org/participants/rienkarrot"
"Fact Sheet","3478","http://nanowrimo.org/participants/s-writes56"
"Location: Seattle, WA Hobbies: stories (books, TV, movies); hiking; riding my bike; petting my cats who are often laying on me or my desk while I write Favorite noveling music: Spotify superior study playlist Website: http://www.sarahshaffer.com Occupation: copyeditor; flash fiction workshop instructor Favorite books or authors: Lydia Peele, Barbara Kingsolver, Alice Munro, Kevin Brockmeier; Lauren Groff","3479","http://nanowrimo.org/participants/s-writes56"
"Fact Sheet","3480","http://nanowrimo.org/participants/schappy"
"","3481","http://nanowrimo.org/participants/schappy"
"Fact Sheet","3482","http://nanowrimo.org/participants/Shaun-Parker"
"Age: 23 Location: San Francisco Hobbies: Reading, Acting, Playing Music Favorite noveling music: Sufjan Stevens, Santo and Johnny Website: http://www.shaun-parker.com Occupation: Actor Favorite books or authors: David Sedaris, Edward Albee, Haruki Murakami, Dave Eggers","3483","http://nanowrimo.org/participants/Shaun-Parker"
"Fact Sheet","3484","http://nanowrimo.org/participants/sninkychan"
"Location: Portland, OR Hobbies: system administration Favorite noveling music: Dan Deacon, They Might Be Giants, Stereolab, Stereo Total, Kevin Blechdom, Peaches Website: http://elaboratefiction.com Sponsorship URL: https://www.stayclassy.org/fundraise?fcid=343440 Favorite books or authors: Joan Didion, Philip K. Dick, Michael Chabon, Neil Gaiman","3485","http://nanowrimo.org/participants/sninkychan"
"Fact Sheet","3486","http://nanowrimo.org/participants/SquirrelScribe"
